# p q x y e
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 1003832063283735390146147791332157274844669017571305646719420129690220116679166319330692389608470030232945544121977231526175775455292929089092927047519928533503343403234072984044566767397281039 1098299539039852205424573118759962683376527800340386856611118531497064766154062576169728247640892622380179509121302814823034953967010506096867333666659264482800443317612036974901503711567086644 -5437064445013056578654159050131085104025 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 487106678785207411632382456029962952954529589685608135982386593667644053006254825464845205430306781088823622311351053381348015487806895524692163749007351395573336254341759501761306073592046443 665412948385097954988939461620149915318867253629635740620658864682749702591463630591993074870786634160029030935519427904443026826366578802604178113453577021672684960506562645198000498201421636 -12948245155342356324032344590909690601949 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 731873112783450759305869692918930733446270229946118378516250861296401921902960469085497953723270999786366981334939721516547445698061478284707193759575360433411982017587809400594794596645787153 617630781419853671764188320953423087449707001901873755091677031119647429859582523930850713169941773493331717728684485173769409688047073476259786411410717701781922638326789733471461262352751552 17105572483645944007426520447909310062097 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 910830254402520782579116968827898211407442573580545239321972122382547921089859673162632688765429556947910919507199950207404194412434536931575383529879634225893679934238385860991537938652913753 986145714088993117484273537778961090468454507531607126415290085389365649188191500026009950338759645655379531485434097403151037564586660933594174466883394495339445953316135952952344538726639756 -10354337012873433494735290671052216692161 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 459097843560860984672605874272263134162365690316625141078118175501432485506276298334480787046165767733545246884472144585521673640402876737508006241521145643874161731683299978613586192432232649 735735870898018771433555334869937059707326308442690106479149193720497449253925852481206736475662102385434052383928862456326616195437286722866428785183496031624300465709591329092566445236148580 -10714533736930872927704650287703770742257 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 258172182611298697857602120891490034291749985557016472008359992114297645389368402946955186654054539509666480148412075355931438047155865418737892382844190342532102134752538706874796983358507913 638430285053334032758757758953341874867663257086541627243512992726189170961415711853758819203172106661271676536888091048156420937376527914606747890591318746302504741669931920370705498157111120 6678533924239190116138790052470043698185 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 1035831617362655576225773044912048340326875909264627525455596454427371342576772602998588890436001563766540060007547356175983054880062684859411294990653081628852980182784702920151038225816294905 915419916834184217270932552005536025292455154523437590275784356858433527064455414632127271430687057838167507252390856849047340771348752397890083963358443369862012432930488522581577042496806984 13257909935004929526485873783803286538009 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 1107721235410112742197278304468638533319235389495354031651498294088005310956872583066224590891257765050726880403502827811325905332821353199291678035527008501457223432942411611221879610857792199 1038272515151577537731632817742438992565789069285418401657557674141286703197483375885901309386297945857374215154204814728033977992653116776479463600549773713796347607637264042032621429357607880 -9289133946079721213747182794618635460007 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 276600699033518967801042902019781206682939675418795170938871540860118155596623899821265473098628077316962593041875245603162967475687545915375506462228828989848070972415155752080711942981262953 707507172614449019720556354025200554612078725083255166040240535252113158685449206146018772280522464617961458566111393648296270769861925650725004018434614207785648149312065645515627192393099732 4578702591065853131397377233390336722223 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 1049960100405379102366608555686720729630660934842729915966076557205123201194145785329957554274800609897379108358152736649791886597281333722196484817566008265283464053264911107916541331188946997 412236686310380731038776944060026590717793269500798590322273376159002139233481528479668032600130115359684197317843976883469367801910355007370110491549259527138130189315449957041227348267781116 -20895584273863852241919640649926130984067 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 166356367187428081609101051245720649524298482911178858460950807401037676369671449889641493472684774162211304228860149904198253983765661176654540749465671219724302493944143098000113878269720875 549188887805666591351655562989600203936467061566155539015454504853119842490601052616338421476810727654956423550723334546314452601684349633383040694887341802486104011995659544486347122615270920 -4418787423529485287248657055509560982645 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 1018194356140898065192952495668281524066839396867815148320481896593017222651558139722931522518623364979197251956843109906399355131774426208639348973386292079294078444168858026166937064931965635 1007555615363173743706521782738887951768215542265475694093126654325772285739565767313321722802514277450857284074153747731862065977491260557099737734612476185139271682515888766837810331766302532 -10262448916804887557832932737565088955323 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 489440441964882568706375061669780594107265055303883610351671060051707349768994920560466115774545754934817797857123620236581373077468765398801651454323601214713885273363420380576633254986874659 508468353794508806271669480690756964409203126078254439301422859590847781722357617282301790641363924161642912224994799768961451988163783887804173126097843296772595582629824655773479224002074340 15507494405161814955519157737713857664357 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 796505235820663885562973648117823768567132987079056554718848979589150309046014123280647495785000339060891346482172371414266268317201227707949187663553323320784793639631054643967061296006836015 545916293260177504715690316152175595009725673052592507037778572281869887911722001716054904430431362042079754833742594982131343966449787234862746649934766093740761837497105220182395257928897984 -18546411167034584956694398062048905124049 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 246848705608724809859993290352219942590467312594782270744322996229238935453520112159704718368143686827757437728790683874694360884048482890795050267059255062519985932620978159652605967997879889 680040087029083285517956911264992117426664759275825129734833281619143322711560720667299728822768929850556587404531492213119795365328419913279067852103024668588694251906140061007368735339678844 -3930447861960176705228590959962885337415 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 417622989724549672552591170181939304879501890043120460637156172086688954537504721559189027231154355262058453871812003759745628526348919048081275707493287772431788805719639155296956672607094375 700530943056166071173736001572206365558456419841122262581782374294027365952008268613887719593718618783564078721049852620627046740864076204882172270893649551555405701512806664005913542358748920 10574108921802774384021876199974166389945 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 837683306247047158488738163973287422320193241486269702803431718493180924279386257059982742133560287323539193179827375866389266908837955149658351877797316954611471351452279537810003574554474375 855434583471363826809350594047901466968706889710707915969663703879907377850295548762973099958144535776459276575842441009187518985716282161519651577310366186448173933764796799193011683030958400 13625874104977517717291340910622320840825 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 678653569142777783449996213574759020914578579570547757125467553370742218033794249646971150199852427832974631047492997869907627213202380703944258814754532350635726742459681726898348767467425393 719023487709817277576907365480285570471969620584800316290741930418040774530139898910955992224804721407880934080434646895826309296328526571350304907033251146965944321357505057558905280635837988 -14895658747929735967388518810537013543513 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 107262162460746667518469465893045783499223139771858871591505097573481977093238064379405198185771637629186820251688411828904432860143949432473786472136339660485222176125347396206341738313178425 118561676441701202444104883528736287348999677260887841977301569498420242384293513630388991530840080709728408209272701788856837659489670775596796206562497754887477257894330485164138143783940272 -9230900679840890861042165361026712674887 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 354111694946153607565804051714159705378293846028102055994764666759841276752968609752348188479967829401451070265532914544600208579435622977231129485141875796813445136544274656551552397545169171 826081803811837616130845394185691645351271008866306309377624814624754742955711670562313738026300234373476965639485517857668616382308717183196255985715745567293470798005568013976302342372730684 14637843073858192285214561668860097653 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 216152122690229959204316841721588319338529635352154205948970012860262782299878606236656233704618837893686209296854292562515855289299318933013077939635951754513490292466836352991420041697308155 594359231288512334114399412878238561178372751104524432709950475159116045072288717374282543354754962489821389839846516144606741223431779491209401492688403617816327176806210944859727253651843444 6017073630191908952107731141228567226381 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 116454589635977978165927661274594363626589713950074394386013945544513177199141970029747769239012344086947216935897829713828417692792677338405892431499212339022087892591169592283846662075808213 373852085847394796692388835436557456087322717512433315205933930180034473670474491937906652834974422312608202972809584771701272542414178943327186849589582865397898994833853963562014315091516156 -6609176768150505693423157407530923952099 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 1000562529275975156327265407190574691918002135047865834262470630240279965782447899028936603358414974433072714587559154625013189829964572645502623011503090354025275480721620219655613740824816615 147156343892553851928396986233698238520331535820088171292230753393516963247770703436055389498549778876783827734904891814592000173373854777218794902222213781361720487787582968730939726311832756 22132685384529611267021573891563362043009 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 125231411442774484018327701071007463510241315263242896165575933860195403497170727956013183482881694142648958413685498130903707177723901891845973626636406447253976498484262249946566791827125983 480075391378132995902405642334633434536117927498521107388119664371282561673476345532077580252716404288602722147030749652956123829125023976341022974576428784303888188851116723187062888585611996 3920426512295620147008091644183100631671 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 1128430784079141938933514217436321447928963117421450996177189783916012180053788134271709914916841375577352734023903826677712955780701673417156251344248726640828284003396497519787452294938336385 410279775794372708288295095446122670800127494543930677244178645406547292780551161318881870276022620980505028461433497218058527178216188628849446868896092361399911860668688619256563130058556236 20985449592014419544338297183720819184809 639
2571620657247041570276220117744004345347371548093280657865000932088842522699846693983676109157670059506227215002127552380449148685661553704636298617927657952944296265957815436501057905214969074050709003716731153996059665904175704214199730547058495099497087154644770120238503159596629852840929360336650239 85994662932972993544127479954290256430605260620920244559121012029010076998855657371411925859897365311086508904110247546744092053278874429258061442987566071883414626956955038850121539596687155 434482969742018137982746043940131047103038836671474942643229470947163404122878291171623829659055532992951399072517509371262483054625697227496998474417981908913619798034796379680489859054477612 -29503495490259605694555443420372755733 639
